Province,Population
California,39512223
Texas,28995881
Florida,21477737
New York,19453561
Pennsylvania,12801989
Illinois,12671821
Ohio,11689100
Georgia,10617423
North Carolina,10488084
Michigan,9986857
New Jersey,8882190
Virginia,8535519
Washington,7614893
Arizona,7278717
Massachusetts,6949503
Tennessee,6833174
Indiana,6732219
Missouri,6137428
Maryland,6045680
Wisconsin,5822434
Colorado,5758736
Minnesota,5639632
South Carolina,5148714
Alabama,4903185
Louisiana,4684794
Kentucky,4467673
Oregon,4217737
Oklahoma,3956971
Connecticut,3565287
Utah,3205958
Iowa,3155070
Nevada,3080156
Arkansas,3017825
Mississippi,2976149
Kansas,2913314
New Mexico,2096829
Nebraska,1934408
West Virginia,1792065
Idaho,1787147
Hawaii,1415872
New Hampshire,1359711
Maine,1344212
Montana,1068778
Rhode Island,1059361
Delaware,973764
South Dakota,884659
North Dakota,762062
Alaska,731545
District of Columbia,705749
Vermont,623989
Wyoming,578759
Italy,60317546
"Korea, South",51709098
Hubei,59020000
Guangdong,111690000
Henan,95590000
Zhejiang,56570000
Hunan,68600000
Anhui,62550000
Jiangxi,46220000
Shandong,100060000
Jiangsu,80290000
Chongqing,30750000
Sichuan,83020000
Heilongjiang,37890000
Beijing,21710000
Shanghai,24180000
Hebei,75200000
Fujian,39110000
Guangxi,48850000
Shaanxi,38350000
Yunnan,48010000
Hainan,9170000
Guizhou,35550000
Tianjin,15570000
Shanxi,36820000
Gansu,26260000
Hong Kong,7335384
Liaoning,43690000
Jilin,27170000
Xinjiang,24450000
Mongolia,3278290
Ningxia,6820000
Qinghai,5980000
Macau,644900
Tibet,3370000
